cu_option,cu_119,cu,voltage_level,cycle,or_abbreviation,asset_ownership,gen,cmt,perg,stn,sdl,crs,min_cu,avg_cu,max_cu,cot_value,cu_without_cot
0,613.3582,613.3582,3,202505,CETSA,N/A,304.8658,98.027,18.1902,56.7575,94.3738,41.1439,606.5898,613.3354,618.0223,71.44,541.9182
0,697.0112,697.0112,2,202505,ESSA,N/A,305.3275,62.79,24.7179,56.7575,206.2744,41.1439,690.1353,696.9881,701.7494,23.24,673.7712
0,831.4938,831.4938,1,202505,ESSA,50% OPERADOR,305.3275,79.42,67.6708,56.7575,281.1741,41.1439,823.8574,831.4682,836.7562,39.87,791.6238
0,785.7227,785.7227,1,202505,ESSA,100% USUARIO,305.3275,79.42,67.6708,56.7575,235.403,41.1439,778.0863,785.6971,790.9851,39.87,745.8527
0,877.265,877.265,1,202505,ESSA,100% OPERADOR,305.3275,79.42,67.6708,56.7575,326.9453,41.1439,869.6286,877.2394,882.5274,39.87,837.395
0,576.891,576.891,3,202505,ESSA,N/A,305.3275,64,18.7742,56.7575,90.8879,41.1439,570.1206,576.8683,581.5565,24.45,552.441
0,661.4617,661.4617,2,202505,ELECTROCAQUETA,N/A,303.7989,55.9502,22.7126,56.7575,181.0986,41.1439,654.5726,661.4386,666.2091,28.2,633.2617
0,763.725,763.725,1,202505,ELECTROCAQUETA,50% OPERADOR,303.7989,57.5702,70.8443,56.7575,233.6102,41.1439,755.9801,763.699,769.062,29.82,733.905
0,734.862,734.862,1,202505,ELECTROCAQUETA,100% USUARIO,303.7989,57.5702,70.8443,56.7575,204.7472,41.1439,727.1171,734.836,740.199,29.82,705.042
0,792.5879,792.5879,1,202505,ELECTROCAQUETA,100% OPERADOR,303.7989,57.5702,70.8443,56.7575,262.4731,41.1439,784.843,792.5619,797.9249,29.82,762.7679
0,555.0186,555.0186,3,202505,ELECTROCAQUETA,N/A,303.7989,56.1202,17.4675,56.7575,79.7306,41.1439,548.2229,554.9958,559.7016,28.37,526.6486
0,819.4256,819.4256,1,202505,ELECTROHUILA,100% OPERADOR,304.2095,53.0038,65.2998,56.7575,299.0111,41.1439,811.8792,819.4003,824.626,20.98,798.4456
0,769.4588,769.4588,1,202505,ELECTROHUILA,100% USUARIO,304.2095,53.0038,65.2998,56.7575,249.0443,41.1439,761.9124,769.4335,774.6592,20.98,748.4788
0,794.4422,794.4422,1,202505,ELECTROHUILA,50% OPERADOR,304.2095,53.0038,65.2998,56.7575,274.0277,41.1439,786.8958,794.4169,799.6426,20.98,773.4622
0,682.1623,682.1623,2,202505,ELECTROHUILA,N/A,304.2095,65.7338,25.967,56.7575,188.3506,41.1439,675.3146,682.1393,686.8811,33.71,648.4523
0,620.4534,620.4534,3,202505,ELECTROHUILA,N/A,304.2095,70.9138,20.0798,56.7575,127.3489,41.1439,613.7104,620.4308,625.1,38.89,581.5634
0,676.6044,676.6044,2,202505,ELECTROMETA,N/A,304.3811,67.3639,25.8594,56.7575,181.0986,41.1439,669.7166,676.5813,681.3508,39.93,636.6744
